Company ID,Company Name,Name Source,Website URL,Career URL,LinkedIn URL,Email,Location,Tech Stack,Employee Count Hint,AIUB/Total Hint,Status/Research Hint,Notes,Additional Websites,Additional Career URLs,Additional LinkedIn URLs,Additional Emails,Corporate Domains,Source Rows,Source Row Count,Needs Manual Review,Review Reasons,Needs Enrichment,Enrichment Reasons,Active,Recommended Action
C0956,2pi BD,domain_inferred,,https://2pi-bd.com/career.php#,,,,php,,,,Tech Stack: PHP may be | Is Applied: yes,,,,,2pi-bd.com,1141,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,MONITOR_READY
C0378,3 Devs,domain_inferred,,https://www.3-devs.com/vacancy,,,,php,,,,Openning: php dev,,,,,3-devs.com,485,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,MONITOR_READY
C0516,360dsoul,domain_inferred,,https://360dsoul.com/career,https://www.linkedin.com/company/360dsoul/,,mirpur,,5.0,,planning,Tech Stack: junior full stack backend | Openning: mirpur | Years of Exp want: 5 emp | Is Applied: planning | Location: https://www.linkedin.com/company/360dsoul/,,,,,360dsoul.com,643,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,MONITOR_READY
C0967,3ssoftltd,domain_inferred,https://3ssoftltd.com/,,,info@3ssoftltd.com,,,,,,Is Applied: mail address not found | Location: https://3ssoftltd.com/,,,,,3ssoftltd.com,1158,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,FIND_CAREER_PAGE
C0691,4sightech,domain_inferred,https://4sightech.net/,,https://www.linkedin.com/company/4-sight-technology/,,,,8.0,,,Tech Stack: https://4sightech.net/ | Specialization They Need: 8 emp,,,,,4sightech.net,835,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,FIND_CAREER_PAGE
C0512,64 page,explicit,,,,,,,,,,,,,,,,638,1,YES,Source review: note_or_manual_review,YES,Missing company/career website,YES,MANUAL_REVIEW
C0799,6amtech,domain_inferred,,https://6amtech.com/career/,,,mirpur,"flutter, qa",,,must try,Tech Stack: Flutter /QA Mirpur | Openning: must try | Comment: Flutter /QA,,,,,6amtech.com,951,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,MONITOR_READY
C0244,6sensehq,domain_inferred,,https://www.6sensehq.com/career,,,,,,,,,,,,,6sensehq.com,344,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,MONITOR_READY
C0841,Aamar,domain_inferred,https://aamar.digital/contact-us/,,,,,,,,,Openning: loading was so cool,,,,,aamar.digital,1003,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,FIND_CAREER_PAGE
C0268,Aamarpay,domain_inferred,https://career.aamarpay.com/,,,,,,,,,,,,,,aamarpay.com,369,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,FIND_CAREER_PAGE
C0959,Aan Nahl,domain_inferred,,https://aan-nahl.com/career/,,,,,,,,Is Applied: yes,,,,,aan-nahl.com,1145,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,MONITOR_READY
C0694,Abelling,domain_inferred,https://abelling.ai/,,https://www.linkedin.com/company/abelling/,,,ai,8.0,,,Tech Stack: https://abelling.ai/ | Specialization They Need: 8 emp,,,,,abelling.ai,838,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,FIND_CAREER_PAGE
C0707,Abg Pocket,linkedin_inferred,,,https://www.linkedin.com/company/abg-pocket/,,,,3.0,,,Specialization They Need: 3 emp,,,,,,851,1,NO,,YES,Company name inferred from domain/LinkedIn/email; Missing company/career website,YES,ENRICH_FROM_LINKEDIN
C0232,Accordhrm,linkedin_inferred,,,https://www.linkedin.com/company/accordhrm/,,,,,,,,,,,,,332,1,NO,,YES,Company name inferred from domain/LinkedIn/email; Missing company/career website,YES,ENRICH_FROM_LINKEDIN
C0295,Acmeai,domain_inferred,,https://www.acmeai.tech/career,,,,,,,,,,,,,acmeai.tech,398,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,MONITOR_READY
C0642,Acotegroup,domain_inferred,,https://www.acotegroup.com/careers,https://www.linkedin.com/company/acotegroup/,,,,,6/82,,Specialization They Need: 6 of 82 | Location: https://www.acotegroup.com/careers,,,,,acotegroup.com,784,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,MONITOR_READY
C0849,Activext,domain_inferred,https://www.activext.io/,,https://www.linkedin.com/company/activext/,,,,,,,Openning: minimalist and so cool | Location: https://www.linkedin.com/company/activext/,,,,,activext.io,1011,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,FIND_CAREER_PAGE
C0656,Addie Soft Ltd,linkedin_inferred,,,https://www.linkedin.com/company/addie-soft-ltd/,,,,,2/65,,Specialization They Need: 2 out of 65,,,,,,798,1,NO,,YES,Company name inferred from domain/LinkedIn/email; Missing company/career website,YES,ENRICH_FROM_LINKEDIN
C0671,Adn Telecom Limited,linkedin_inferred,,,https://www.linkedin.com/company/adn-telecom-limited/,,,,,10/197,,Specialization They Need: 10 of 197,,,,,,813,1,NO,,YES,Company name inferred from domain/LinkedIn/email; Missing company/career website,YES,ENRICH_FROM_LINKEDIN
C0903,Adndiginet,domain_inferred,,https://adndiginet.com/career,,,,"data engineer, data science, python",,,,"Tech Stack: python, data science, data engineer",,,,,adndiginet.com,1077,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,MONITOR_READY
C0981,Adntechnologies,domain_inferred,https://www.adntechnologies.net/#/career,,,,,,,,planning,Is Applied: planning,,,,,adntechnologies.net,1172,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,FIND_CAREER_PAGE
C0838,Adplaytechnology,domain_inferred,https://adplaytechnology.com/contact.html,,,,,,,,,Openning: cool loading is nice,,,,,adplaytechnology.com,998,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,FIND_CAREER_PAGE
C0084,Adventure Dhaka Limited,explicit,https://adventurekk.com,,,,dhaka,,,,,,,,,,adventurekk.com,115,1,NO,,NO,,YES,FIND_CAREER_PAGE
C0396,Adventuresoft,domain_inferred,https://www.adventuresoft.com.bd/,,,,,,,,"hiring, no hiring",Tech Stack: no hiring,,,,,adventuresoft.com.bd,505,1,NO,,YES,Company name inferred from domain/LinkedIn/email,YES,FIND_CAREER_PAGE
