Company ID,Company Name,Name Source,Website URL,Career URL,LinkedIn URL,Email,Location,Tech Stack,Employee Count Hint,AIUB/Total Hint,Status/Research Hint,Notes,Additional Websites,Additional Career URLs,Additional LinkedIn URLs,Additional Emails,Corporate Domains,Source Rows,Source Row Count,Needs Manual Review,Review Reasons,Needs Enrichment,Enrichment Reasons,Active,Recommended Action
C0083,ATI Limited,explicit,https://atilimited.net,https://www.atilimited.net/career,,,uttara,,,,,Tech Stack: Uttara,,,,,atilimited.net,114; 308,2,NO,,NO,,YES,MONITOR_READY
C0095,Beyond Bracket Ltd,explicit,https://beyondbracket.com,https://beyondbracket.com/category/career/,https://www.linkedin.com/company/beyondbracket/,,,,,1/10,,Tech Stack: https://beyondbracket.com/category/career/ | Specialization They Need: 1 of 10,,,,,beyondbracket.com,126; 777,2,NO,,NO,,YES,MONITOR_READY
C1026,Business Automation Ltd,explicit,https://www.ba-systems.com,https://ba-systems.com/careers,,,,,,,not loading,Comment: not loading,,,,,ba-systems.com,1235; 1304,2,NO,,NO,,YES,MONITOR_READY
C0030,CodesBreak,explicit,https://codesbreak.com/,https://codesbreak.com/career/,https://www.linkedin.com/company/codesbreak/,,,,,3/14,,Location: https://codesbreak.com/career/ || Tech Stack: https://codesbreak.com/ | Openning: 3 of 14 AIUB | Specialization They Need: masum vai from sta,https://codesbreak.com,,,,codesbreak.com,46; 231; 766,3,NO,,NO,,YES,MONITOR_READY
C0075,Dcastalia Limited,explicit,https://dcastalia.com/,https://dcastalia.com/career,,,,,,,,,https://dcastalia.com,,,,dcastalia.com,96; 174; 512,3,NO,,NO,,YES,MONITOR_READY
C0023,Devxhub,explicit,https://devxhub.com/,https://www.devxhub.com/career,,career@devxhub.com,"boalia, kazla, rajshahi",,,,,"Tech Stack: Kazla, Boalia, Rajshahi | mail to: career@devxhub.com | Location: https://www.devxhub.com/career",https://devxhub.com,,,,devxhub.com,39; 239,2,NO,,NO,,YES,MONITOR_READY
C0109,Dhrubok Infotech,explicit,https://dhrubokinfotech.com,https://dhrubokinfotech.com/career,,,,,,,,Is Applied: yes,,,,,dhrubokinfotech.com,142; 1148,2,NO,,NO,,YES,MONITOR_READY
C0087,Dohatec New Media,explicit,https://www.dohatec.com,https://www.dohatec.com/careers,,hrd@dohatec.net,,,,,,Tech Stack: hrd@dohatec.net,,,,,dohatec.com,118; 307,2,NO,,NO,,YES,MONITOR_READY
C0036,Dream71,explicit,https://dream71.com/,https://dream71.com/career,,,,,,,,Tech Stack: not good | Location: https://dream71.com/career,https://dream71.com,,,,dream71.com,52; 143,2,NO,,NO,,YES,MONITOR_READY
C0020,eGeneration Ltd,explicit,https://egeneration.co/,https://egeneration.co/career.html,,hr@egeneration.com,,ios,,,planning,"Location: https://egeneration.co/career.html || Tech Stack: data eng, ios | Is Applied: planning | Location: https://www.egeneration.co/career.html",https://egeneration.co,https://www.egeneration.co/career.html,,,egeneration.co,36; 204; 242; 580,4,NO,,NO,,YES,MONITOR_READY
C0176,FiftyTwo Digital,explicit,https://fiftytwodigital.com,https://fiftytwodigital.com/careers/,,contact@fiftytwo.com,,c++,,,not loading,Tech Stack: c c++ || Comment: site is not loading | mail to: contact@fiftytwo.com,https://fiftytwodigital.com/,,,,fiftytwodigital.com,246; 601; 1263,3,NO,,NO,,YES,MONITOR_READY
C0019,Genex Infosys,explicit,https://genexinfosys.com/,https://genexinfosys.com/position.php,,,,php,,,,Tech Stack: Want Seniors | Location: https://genexinfosys.com/position.php,https://genexinfosys.com,https://www.genexinfosys.com/career,,,genexinfosys.com,35; 205; 511,3,NO,,NO,,YES,MONITOR_READY
C0961,"Get Web, Inc.",explicit,https://getwebinc.com,https://getwebinc.com/careers/,,careers@getwebinc.com,,wordpress,,,,Tech Stack: careers@getwebinc.com | Years of Exp want: mailed | Is Applied: yes || Comment: Wordpress may be,https://getwebinc.com/,,,,getwebinc.com,1150; 1293,2,NO,,NO,,YES,MONITOR_READY
C0160,Hsenid Mobile Solutions,explicit,https://www.hsenidmobile.com,https://hsenidmobile.com/careers/,https://www.linkedin.com/company/hsenid-mobile-solutions/,,,,,1/11,hiring,Openning: not hiring rn | Specialization They Need: 1 of 11 | Location: https://www.linkedin.com/company/hsenid-mobile-solutions/,,,,,hsenidmobile.com,217; 1221,2,NO,,NO,,YES,MONITOR_READY
C0021,iBOS Ltd,explicit,https://ibos.io/,https://ibos.io/career/,,,,,,,,Location: https://ibos.io/career/,https://ibos.io,,,,ibos.io,37; 240,2,NO,,NO,,YES,MONITOR_READY
C0091,Implevista,explicit,https://implevista.com,https://www.implevista.com/career,,hr@implevista.com,,,,,,Tech Stack: https://www.implevista.com/career | Is Applied: yes,,,,,implevista.com,122; 494,2,NO,,NO,,YES,MONITOR_READY
C0027,Incrosoft,explicit,https://incrosoft.com/,https://incrosoft.com/careers/apply,,,,,,,,Location: https://incrosoft.com/careers/apply,https://incrosoft.com,,,,incrosoft.com,43; 233,2,NO,,NO,,YES,MONITOR_READY
C0040,KonaSL,explicit,https://konasl.com/,https://konasl.com/careers#openings,,,police plaza,,,,,Tech Stack: police plaza | Location: https://konasl.com/careers#openings,https://konasl.com,,,,konasl.com,56; 252,2,NO,,NO,,YES,MONITOR_READY
C0089,Mevrik Ltd,explicit,https://mevrik.com,https://www.mevrik.com/career,,,,ai,,,,Tech Stack: AI,,,,,mevrik.com,120; 1078,2,NO,,NO,,YES,MONITOR_READY
